rel_year,estimate,std_error
-15.0,-0.0036059878001404723,0.011012359289597255
-14.0,-0.003467542886579585,0.007286579030270438
-13.0,-0.00117416671156456,0.005783974462746577
-12.0,-0.000797966593925547,0.005191275953691261
-11.0,-0.007076001913914636,0.004837703943486416
-10.0,0.0026583946633711116,0.004487286238528817
-9.0,0.0021388046145937385,0.004220931431368371
-8.0,0.0024972084738701167,0.004220931431368371
-7.0,0.0014643675976059548,0.004220931431368371
-6.0,-0.0045156746154551616,0.004220931431368371
-5.0,-0.002015376128630184,0.004220931431368371
-4.0,0.004343026837816436,0.004220931431368371
-3.0,0.0029549195025518784,0.004220931431368371
-2.0,0.0033131508126703142,0.004220931431368371
-1.0,0.011167157576539525,0.004220931431368371
0.0,0.037718707751170255,0.004220931431368371
1.0,0.061338685279413274,0.00456994799861642
2.0,0.05030049022437133,0.005178216119281748
3.0,0.05985553323203627,0.006173659781349815
4.0,0.05563133281372767,0.007250595704026671
5.0,0.02860621347224053,0.008638805370515569
6.0,0.043397307661092496,0.012436471042188165
